i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
 27536.578210247644 | 28829.446286823775 | ELASTICNET   | ACO
 NDX.IDX | D         | 2026-07-21 | 28819.953117379555 | 30173.076845004303 |
    27527.510765793 | 28819.953117379555 | THETA        | DE
 NDX.IDX | D         | 2026-07-21 |  29012.09525609883 | 30374.240236670063 |
 27711.036213270836 |  29012.09525609883 | XGBOOST      | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28975.878785847945 | 30336.323369300982 |
 27676.443885147684 | 28975.878785847945 | RANDOMFOREST | DE
 NDX.IDX | D         | 2026-07-21 | 28997.689991043524 | 30359.158630960428 |
 27697.276958102066 | 28997.689991043524 | ARIMA        | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28930.559388206577 |  30288.87618359485 |
 27633.156854062276 | 28930.559388206577 | ENSEMBLE     | GA
 NDX.IDX | D         | 2026-07-21 |  28929.61375921001 | 30287.886156433317 |
 27632.253632177166 |  28929.61375921001 | LIGHTGBM     | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28829.446286823775 |  30183.01572762415 |
 27536.578210247644 | 28829.446286823775 | ELASTICNET   | DE
 NDX.IDX | D         | 2026-07-21 | 28897.067049162997 | 29676.501247281314 |
 28286.210051406102 | 28897.067049162997 | QUANTILE     | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28897.067049162997 | 29676.501247281314 |
 28286.210051406102 | 28897.067049162997 | QUANTILE     | PSO
 NDX.IDX | D         | 2026-07-21 |  28977.48604258115 |   30338.0060882396 |
 27677.979063808332 |  28977.48604258115 | ENSEMBLE     | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28897.067049162997 | 29676.501247281314 |
 28286.210051406102 | 28897.067049162997 | QUANTILE     | GA
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | CMA-ES
 NDX.IDX | D         | 2026-07-21 |  31594.38149622466 | 33077.767228604265 |
 30177.518791709055 |  31594.38149622466 | ARIMA        | PSO
 NDX.IDX | D         | 2026-07-21 | 28819.953117379555 | 30173.076845004303 |
    27527.510765793 | 28819.953117379555 | THETA        | CMA-ES
 NDX.IDX | D         | 2026-07-21 |  28929.61375921001 | 30287.886156433317 |
 27632.253632177166 |  28929.61375921001 | LIGHTGBM     | SA
 NDX.IDX | D         | 2026-07-21 | 28975.878785847945 | 30336.323369300982 |
 27676.443885147684 | 28975.878785847945 | RANDOMFOREST | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28975.878785847945 | 30336.323369300982 |
 27676.443885147684 | 28975.878785847945 | RANDOMFOREST | PSO
 NDX.IDX | D         | 2026-07-21 | 28829.446286823775 |  30183.01572762415 |
 27536.578210247644 | 28829.446286823775 | ELASTICNET   | CMA-ES
 NDX.IDX | D         | 2026-07-21 | 28899.303033196273 | 30256.152313511524 |
 27603.302202823208 | 28899.303033196273 | ENSEMBLE     | SA
 NDX.IDX | D         | 2026-07-21 | 28853.982123663518 | 30208.703544929296 |
  27560.01372764779 | 28853.982123663518 | ARIMA        | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | GA
 NDX.IDX | D         | 2026-07-21 |  29012.09525609883 | 30374.240236670063 |
 27711.036213270836 |  29012.09525609883 | XGBOOST      | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 | 28897.067049162997 | 29676.501247281314 |
 28286.210051406102 | 28897.067049162997 | QUANTILE     | SA
 NDX.IDX | D         | 2026-07-21 |  28929.61375921001 | 30287.886156433317 |
 27632.253632177166 |  28929.61375921001 | LIGHTGBM     | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 |  29012.09525609883 | 30374.240236670063 |
 27711.036213270836 |  29012.09525609883 | XGBOOST      | PSO
 NDX.IDX | D         | 2026-07-21 | 28897.067049162997 | 29676.501247281314 |
 28286.210051406102 | 28897.067049162997 | QUANTILE     | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 | 28829.446286823775 |  30183.01572762415 |
 27536.578210247644 | 28829.446286823775 | ELASTICNET   | GA
 NDX.IDX | D         | 2026-07-21 | 28819.953117379555 | 30173.076845004303 |
    27527.510765793 | 28819.953117379555 | THETA        | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | SA
 NDX.IDX | D         | 2026-07-21 | 28939.547165533477 |  30298.28594546524 |
 27641.741570911712 | 28939.547165533477 | ENSEMBLE     | NELDERMEAD
 NDX.IDX | D         | 2026-07-21 | 28950.022042422166 |  30309.25262761136 |
  27651.74669774691 | 28950.022042422166 | KALMAN       | NELDERMEAD
